Review,predicted_label_nb,predicted_label_rf,predicted_label_svc
Spend your money elsewhere.,N,N,N
Their regular toasted bread was equally satisfying with the occasional pats of butter... Mmmm...!,P,P,P
The Buffet at Bellagio was far from what I anticipated.,P,P,P
"And the drinks are WEAK, people!",N,N,P
My order was not correct.,N,N,N
"Also, I feel like the chips are bought, not made in house.",P,N,N
After the disappointing dinner we went elsewhere for dessert.,P,N,N
The chips and sals a here is amazing!!!!!!!!!!!!!!!!!!!,P,P,P
We won't be returning.,N,N,N
This is my new fav Vegas buffet spot.,P,P,P
I seriously cannot believe that the owner has so many unexperienced employees that all are running around like chickens with their heads cut off.,N,N,P
"Very, very sad.",N,N,N
"i felt insulted and disrespected, how could you talk and judge another human being like that?",N,N,N
"How can you call yourself a steakhouse if you can't properly cook a steak, I don't understand!",P,P,P
I'm not impressed with the concept or the food.,N,N,N
The only thing I wasn't too crazy about was their guacamole as I don't like it puréed.,P,N,P
"There is really nothing for me at postinos, hope your experience is better",N,N,N
I got food poisoning here at the buffet.,P,N,N
They brought a fresh batch of fries and I was thinking yay something warm but no!,N,N,N
"What SHOULD have been a hilarious, yummy Christmas Eve dinner to remember was the biggest fail of the entire trip for us.",P,P,P
"Needless to say, I won't be going back anytime soon.",N,N,N
This place is disgusting!,N,N,P
"Every time I eat here, I see caring teamwork to a professional degree.",P,N,P
The RI style calamari was a joke.,N,N,P
"However, there was so much garlic in the fondue, it was barely edible.",N,N,N
"I could barely stomach the meal, but didn't complain because it was a business lunch.",N,N,N
"It was so bad, I had lost the heart to finish it.",N,N,N
It also took her forever to bring us the check when we asked for it.,N,P,P
We aren't ones to make a scene at restaurants but I just don't get it...definitely lost the love after this one!,P,P,P
Disappointing experience.,N,N,N
"The food is about on par with Denny's, which is to say, not good at all.",N,N,N
"If you want to wait for mediocre food and downright terrible service, then this is the place for you.",N,N,N
WAAAAAAyyyyyyyyyy over rated is all I am saying.,N,N,N
We won't be going back.,N,N,N
The place was fairly clean but the food simply wasn't worth it.,N,P,P
This place lacked style!!,N,P,P
"The sangria was about half of a glass wine full and was $P2, ridiculous.",P,N,P
Don't bother coming here.,N,N,P
"The meat was pretty dry, I had the sliced brisket and pulled pork.",P,N,N
"The building itself seems pretty neat, the bathroom is pretty trippy, but I wouldn't eat here again.",N,N,N
It was equally awful.,N,N,P
Probably not in a hurry to go back.,N,N,N
very slow at seating even with reservation.,N,N,N
Not good by any stretch of the imagination.,N,N,N
The cashew cream sauce was bland and the vegetables were undercooked.,N,N,N
"The chipolte ranch dipping sause was tasteless, seemed thin and watered down with no heat.",N,N,P
"It was a bit too sweet, not really spicy enough, and lacked flavor.",P,N,N
I was VERY disappointed!!,N,N,N
This place is horrible and way overpriced.,N,N,N
"Maybe it's just their Vegetarian fare, but I've been twice and I thought it was average at best.",P,N,P
It wasn't busy at all and now we know why.,N,N,N
The tables outside are also dirty a lot of the time and the workers are not always friendly and helpful with the menu.,N,P,P
"The ambiance here did not feel like a buffet setting, but more of a douchey indoor garden for tea and biscuits.",P,N,N
Con: spotty service.,N,N,P
"The fries were not hot, and neither was my burger.",N,N,N
But then they came back cold.,N,P,P
"Then our food came out, disappointment ensued.",N,N,N
The real disappointment was our waiter.,N,N,N
My husband said she was very rude... did not even apologize for the bad food or anything.,N,N,N
The only reason to eat here would be to fill up before a night of binge drinking just to get some carbs in your stomach.,N,N,N
"Insults, profound deuchebaggery, and had to go outside for a smoke break while serving just to solidify it.",N,P,N
If someone orders two tacos don't' you think it may be part of customer service to ask if it is combo or ala cart?,P,N,N
She was quite disappointed although some blame needs to be placed at her door.,N,P,N
After all the rave reviews I couldn't wait to eat here......what a disappointment!,N,N,N
Del Taco is pretty nasty and should be avoided if possible.,N,N,N
It's NOT hard to make a decent hamburger.,N,N,N
But I don't like it.,N,P,P
Hell no will I go back,N,N,N
We've have gotten a much better service from the pizza place next door than the services we received from this restaurant.,P,N,P
"""I don't know what the big deal is about this place, but I won't be back """"ya'all"""".""",N,N,P
I immediately said I wanted to talk to the manager but I did not want to talk to the guy who was doing shots of fireball behind the bar.,N,N,N
The ambiance isn't much better.,P,N,N
"Unfortunately, it only set us up for disapppointment with our entrees.",P,P,P
The food wasn't good.,N,P,P
"Your servers suck, wait, correction, our server Heimer sucked.",N,N,N
What happened next was pretty....off putting.,P,N,P
"too bad cause I know it's family owned, I really wanted to like this place.",N,N,N
Overpriced for what you are getting.,N,N,N
I vomited in the bathroom mid lunch.,N,N,N
"I kept looking at the time and it had soon become 35 minutes, yet still no food.",N,N,N
"I have been to very few places to eat that under no circumstances would I ever return to, and this tops the list.",P,N,N
We started with the tuna sashimi which was brownish in color and obviously wasn't fresh.,N,P,N
Food was below average.,N,N,N
It sure does beat the nachos at the movies but I would expect a little bit more coming from a restaurant.,P,N,P
"All in all, Ha Long Bay was a bit of a flop.",N,N,N
The problem I have is that they charge $PP.99 for a sandwich that is no bigger than a Subway sub (which offers better and more amount of vegetables).,P,N,N
Shrimp- When I unwrapped it (I live only P/2 a mile from Brushfire) it was literally ice cold.,N,N,P
"It lacked flavor, seemed undercooked, and dry.",N,N,N
It really is impressive that the place hasn't closed down.,N,P,P
I would avoid this place if you are staying in the Mirage.,N,N,N
The refried beans that came with my meal were dried out and crusty and the food was bland.,N,N,N
Spend your money and time some place else.,N,N,N
A lady at the table next to us found a live green caterpillar In her salad.,N,N,N
the presentation of the food was awful.,N,P,N
I can't tell you how disappointed I was.,P,N,N
I think food should have flavor and texture and both were lacking.,N,N,N
Appetite instantly gone.,N,P,P
Overall I was not impressed and would not go back.,N,N,N
"The whole experience was underwhelming, and I think we'll just go to Ninja Sushi next time.",N,P,P
"Then, as if I hadn't wasted enough of my life there, they poured salt in the wound by drawing out the time it took to bring the check.",N,N,N
